"dataset","country_id","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"Pew GAP final 44 country dataset 1.1sav","Vietnam",772,772,399,187,100,2,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Venezuela",700,700,399,187,127,15,5,0,0
"Pew GAP final 44 country dataset 1.1sav","Uzbekistan",700,700,399,187,133,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","US",1501,1501,399,187,130,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Ukraine",500,500,399,187,134,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Uganda",1008,1008,399,187,128,5,4,0,0
"Pew GAP final 44 country dataset 1.1sav","Turkey",1005,1005,399,187,142,37,12,10,0
"Pew GAP final 44 country dataset 1.1sav","Tanzania",720,720,399,187,128,16,12,2,0
"Pew GAP final 44 country dataset 1.1sav","South Korea",719,719,399,187,126,2,0,0,0
"Pew GAP final 44 country dataset 1.1sav","South Africa",700,700,399,187,130,2,2,0,0
"Pew GAP final 44 country dataset 1.1sav","Slovak Republic",500,500,399,187,136,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Senegal",710,710,399,187,140,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Russia",1002,1002,399,187,135,4,4,0,0
"Pew GAP final 44 country dataset 1.1sav","Poland",500,500,399,187,134,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Philippines",700,700,399,187,130,4,2,2,0
"Pew GAP final 44 country dataset 1.1sav","Peru",711,711,399,187,126,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Pakistan",2032,2032,399,187,140,19,2,0,0
"Pew GAP final 44 country dataset 1.1sav","Nigeria",1000,1000,399,187,137,142,80,37,0
"Pew GAP final 44 country dataset 1.1sav","Mexico",996,996,399,187,126,10,2,0,0
"Pew GAP final 44 country dataset 1.1sav","Mali",697,697,399,187,142,35,23,0,0
"Pew GAP final 44 country dataset 1.1sav","Lebanon",1000,1000,399,187,131,47,24,5,0
"Pew GAP final 44 country dataset 1.1sav","Kenya",658,658,399,187,131,6,6,6,0
"Pew GAP final 44 country dataset 1.1sav","Jordan",1000,1000,399,187,134,449,386,248,0
"Pew GAP final 44 country dataset 1.1sav","Japan",702,702,399,187,112,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Ivory Coast",708,708,399,187,133,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Italy",508,508,399,187,110,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Indonesia",1017,1017,399,187,142,14,4,4,0
"Pew GAP final 44 country dataset 1.1sav","India",2189,2189,399,187,127,36,2,2,0
"Pew GAP final 44 country dataset 1.1sav","Honduras",506,506,399,187,127,7,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Guatemala",500,500,399,187,129,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Great Britain",501,501,399,187,113,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Ghana",702,702,399,187,130,73,61,28,0
"Pew GAP final 44 country dataset 1.1sav","Germany",1000,1000,399,187,128,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","France",507,507,399,187,115,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Egypt",1013,1013,399,187,76,161,133,82,0
"Pew GAP final 44 country dataset 1.1sav","Czech Republic",500,500,399,187,135,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","China",3000,3000,399,187,75,34,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Canada",500,500,399,187,113,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Bulgaria",514,514,399,187,132,10,4,0,0
"Pew GAP final 44 country dataset 1.1sav","Brazil",1000,1000,399,187,128,2,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Bolivia",782,782,399,187,128,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Bangladesh",689,689,399,187,129,4,4,0,0
"Pew GAP final 44 country dataset 1.1sav","Argentina",814,814,399,187,127,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Angola",780,780,399,187,126,20,2,0,0
"Pew Gap 2009 Data","United States",1000,1000,471,211,69,0,0,0,0
"Pew Gap 2009 Data","Turkey",1005,1005,471,211,89,41,8,2,0
"Pew Gap 2009 Data","Spain",750,750,471,211,71,0,0,0,0
"Pew Gap 2009 Data","South Korea",702,702,471,211,71,4,0,0,0
"Pew Gap 2009 Data","Russia",1001,1001,471,211,72,24,8,6,0
"Pew Gap 2009 Data","Poland",750,750,471,211,70,2,0,0,0
"Pew Gap 2009 Data","Palestinian Territories",1204,1204,471,211,89,16,6,4,4
"Pew Gap 2009 Data","Pakistan",1254,1254,471,211,132,27,4,0,0
"Pew Gap 2009 Data","Nigeria",1000,1000,471,211,81,229,188,148,6
"Pew Gap 2009 Data","Mexico",1000,1000,471,211,106,64,54,28,4
"Pew Gap 2009 Data","Lebanon",1000,1000,471,211,84,320,178,14,0
"Pew Gap 2009 Data","Kenya",1002,1002,471,211,70,27,9,6,0
"Pew Gap 2009 Data","Jordan",1000,1000,471,211,89,12,2,0,0
"Pew Gap 2009 Data","Japan",700,700,471,211,72,0,0,0,0
"Pew Gap 2009 Data","Israel",1201,1201,471,211,78,37,22,4,0
"Pew Gap 2009 Data","Indonesia",1000,1000,471,211,90,12,4,2,0
"Pew Gap 2009 Data","India",2038,2038,471,211,72,214,98,14,2
"Pew Gap 2009 Data","Great Britain",754,754,471,211,72,0,0,0,0
"Pew Gap 2009 Data","Germany",751,751,471,211,72,0,0,0,0
"Pew Gap 2009 Data","France",753,753,471,211,71,0,0,0,0
"Pew Gap 2009 Data","Egypt",1000,1000,471,211,89,6,2,0,0
"Pew Gap 2009 Data","China",3169,3169,471,211,64,244,125,69,4
"Pew Gap 2009 Data","Canada",750,750,471,211,70,0,0,0,0
"Pew Gap 2009 Data","Brazil",813,813,471,211,70,0,0,0,0
"Pew Gap 2009 Data","Argentina",800,800,471,211,70,0,0,0,0
"GAP_2008_Dataset_release","United States",1000,1000,380,174,57,0,0,0,0
"GAP_2008_Dataset_release","Turkey",1003,1003,380,174,74,48,14,6,0
"GAP_2008_Dataset_release","Tanzania",704,704,380,174,66,6,2,2,0
"GAP_2008_Dataset_release","Spain",752,752,380,174,59,0,0,0,0
"GAP_2008_Dataset_release","South Korea",714,714,380,174,62,0,0,0,0
"GAP_2008_Dataset_release","South Africa",1001,1001,380,174,58,15,4,4,0
"GAP_2008_Dataset_release","Russia",1000,1000,380,174,60,94,85,63,8
"GAP_2008_Dataset_release","Poland",750,750,380,174,59,0,0,0,0
"GAP_2008_Dataset_release","Pakistan",1254,1254,380,174,79,92,26,5,0
"GAP_2008_Dataset_release","Nigeria",1000,1000,380,174,66,92,37,4,0
"GAP_2008_Dataset_release","Mexico",805,805,380,174,59,8,8,4,4
"GAP_2008_Dataset_release","Lebanon",1000,1000,380,174,68,215,128,21,0
"GAP_2008_Dataset_release","Jordan",1000,1000,380,174,75,4,2,0,0
"GAP_2008_Dataset_release","Japan",708,708,380,174,63,0,0,0,0
"GAP_2008_Dataset_release","Indonesia",1000,1000,380,174,74,14,2,2,0
"GAP_2008_Dataset_release","India",2056,2056,380,174,58,21,8,2,2
"GAP_2008_Dataset_release","Great Britain",753,753,380,174,60,0,0,0,0
"GAP_2008_Dataset_release","Germany",750,750,380,174,61,0,0,0,0
"GAP_2008_Dataset_release","France",754,754,380,174,60,0,0,0,0
"GAP_2008_Dataset_release","Egypt",1000,1000,380,174,75,22,9,0,0
"GAP_2008_Dataset_release","China",3212,3212,380,174,97,118,58,14,2
"GAP_2008_Dataset_release","Brazil",1000,1000,380,174,59,0,0,0,0
"GAP_2008_Dataset_release","Australia",700,700,380,174,60,0,0,0,0
"GAP_2008_Dataset_release","Argentina",801,801,380,174,59,2,0,0,0
"GAP_2007_Data","Venezuela",803,803,961,582,151,0,0,0,0
"GAP_2007_Data","United States_ballot_b",1008,1008,961,582,77,0,0,0,0
"GAP_2007_Data","United States_ballot_a",1018,1018,961,582,61,0,0,0,0
"GAP_2007_Data","Ukraine",500,500,961,582,141,10,6,2,0
"GAP_2007_Data","Uganda",1122,1122,961,582,148,77,46,40,12
"GAP_2007_Data","Turkey",971,971,961,582,151,23,10,2,0
"GAP_2007_Data","Tanzania",704,704,961,582,154,0,0,0,0
"GAP_2007_Data","Sweden_ballot_b",500,500,961,582,72,0,0,0,0
"GAP_2007_Data","Sweden_ballot_a",500,500,961,582,57,0,0,0,0
"GAP_2007_Data","Spain",500,500,961,582,109,0,0,0,0
"GAP_2007_Data","South Korea",718,718,961,582,108,2,0,0,0
"GAP_2007_Data","South Africa",1000,1000,961,582,158,4,0,0,0
"GAP_2007_Data","Slovakia_ballot_b",450,450,961,582,89,0,0,0,0
"GAP_2007_Data","Slovakia_ballot_a",450,450,961,582,72,0,0,0,0
"GAP_2007_Data","Senegal",700,700,961,582,157,2,2,2,0
"GAP_2007_Data","Russia",1002,1002,961,582,140,35,20,13,2
"GAP_2007_Data","Poland",504,504,961,582,144,2,2,2,0
"GAP_2007_Data","Peru",800,800,961,582,146,0,0,0,0
"GAP_2007_Data","Palestinian Territories",808,808,961,582,150,19,11,4,0
"GAP_2007_Data","Pakistan",2008,2008,961,582,146,122,47,14,0
"GAP_2007_Data","Nigeria",1128,1128,961,582,160,186,140,76,0
"GAP_2007_Data","Morocco",1000,1000,961,582,142,26,2,0,0
"GAP_2007_Data","Mexico",828,828,961,582,146,30,16,14,2
"GAP_2007_Data","Mali",700,700,961,582,153,2,2,0,0
"GAP_2007_Data","Malaysia",700,700,961,582,146,25,2,2,0
"GAP_2007_Data","Lebanon",1000,1000,961,582,146,232,146,57,0
"GAP_2007_Data","Kuwait",500,500,961,582,148,0,0,0,0
"GAP_2007_Data","Kenya",1000,1000,961,582,148,33,24,11,0
"GAP_2007_Data","Jordan",1000,1000,961,582,149,137,98,29,0
"GAP_2007_Data","Japan",762,762,961,582,111,0,0,0,0
"GAP_2007_Data","Ivory Coast",700,700,961,582,156,0,0,0,0
"GAP_2007_Data","Italy",501,501,961,582,112,5,0,0,0
"GAP_2007_Data","Israel",900,900,961,582,110,0,0,0,0
"GAP_2007_Data","Indonesia",1008,1008,961,582,152,10,7,0,0
"GAP_2007_Data","India",2043,2043,961,582,137,167,131,49,0
"GAP_2007_Data","Great Britain_ballot_b",500,500,961,582,72,0,0,0,0
"GAP_2007_Data","Great Britain_ballot_a",502,502,961,582,57,0,0,0,0
"GAP_2007_Data","Ghana",707,707,961,582,148,41,20,10,6
"GAP_2007_Data","Germany_ballot_b",500,500,961,582,69,0,0,0,0
"GAP_2007_Data","Germany_ballot_a",500,500,961,582,57,0,0,0,0
"GAP_2007_Data","France_ballot_b",502,502,961,582,73,0,0,0,0
"GAP_2007_Data","France_ballot_a",502,502,961,582,57,0,0,0,0
"GAP_2007_Data","Ethiopia",710,710,961,582,154,81,73,47,7
"GAP_2007_Data","Egypt",1000,1000,961,582,150,130,94,45,0
"GAP_2007_Data","Czech Republic_ballot_b",450,450,961,582,89,0,0,0,0
"GAP_2007_Data","Czech Republic_ballot_a",450,450,961,582,72,0,0,0,0
"GAP_2007_Data","China",3142,3142,961,582,118,92,37,13,2
"GAP_2007_Data","Chile",800,800,961,582,153,11,6,0,0
"GAP_2007_Data","Canada_ballot_b",503,503,961,582,69,0,0,0,0
"GAP_2007_Data","Canada_ballot_a",501,501,961,582,56,0,0,0,0
"GAP_2007_Data","Bulgaria",500,500,961,582,140,4,2,0,0
"GAP_2007_Data","Brazil",1000,1000,961,582,146,4,0,0,0
"GAP_2007_Data","Bolivia",834,834,961,582,146,11,10,4,0
"GAP_2007_Data","Bangladesh",1000,1000,961,582,148,3,0,0,0
"GAP_2007_Data","Argentina",800,800,961,582,151,10,6,4,0
